N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,0,0
1,spider,desert_song,0,0
2,alla_rancho,el_rancho_anonymous,0,0
3,chatterbox_carew,chatterbox_jerome,0,0
4,prelude,dakota,0,0
5,vagyok,perhaps,0,0
6,messiah,fence,0,0
7,amothersprayer,myownsweet,0,0
8,twilightwaltz,calledlove,0,0
9,motheranddad,nearyou,0,0
10,thehappywhistler,sanfranciscobrewingad,0,0
11,mygodandi,mygodanditwo,0,0
12,goodnight,whilewedream,0,0
13,rendezvous,idreamed,0,0
14,mizpahshalom,shalom,1,1
15,evangelimann,mitternachtstango,0,0
16,mojoworkout,gotmymojoworking,1,1
17,sognonostalgico,girlinthedark,0,0
18,jeanniemichele,themeatimetolove,0,0
19,daybyday,themetodayshow,0,0
20,keeponsinging,keeponsingingtwo,1,1
21,dirlada,loopdilove,0,0
22,pourtoi,feelings,0,0
23,es,hey,0,0
24,greengrassgrows,superstring,1,1
25,whereareyounow,whereareyou,0,0
26,gehtsparkasse,begood,1,1
27,heartbeat,getoveryou,1,1
28,blessees,janine,1,1
