N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt3,1,1
1,does_anybody,bali,0,0
2,chatterbox_carew,chatterbox_jerome,0,0
3,messiah,fence,0,0
4,shepherd,beginthebeguine,2,2
5,twilightwaltz,calledlove,0,0
6,motheranddad,nearyou,0,0
7,mizpahshalom,shalom,1,1
8,sognonostalgico,girlinthedark,0,0
9,jeanniemichele,themeatimetolove,2,2
10,daybyday,themetodayshow,4,4
11,greengrassgrows,superstring,1,1
12,whereareyounow,whereareyou,1,1
13,heartbeat,getoveryou,6,6
14,blessees,janine,1,1
