N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,confessing,starlight,4,4
2,prelude,dakota,5,5
3,messiah,fence,7,7
4,shepherd,beginthebeguine,7,7
5,sadness,youdbesonice,7,7
6,mygodandi,mygodanditwo,7,7
7,mizpahshalom,shalom,7,7
8,sognonostalgico,girlinthedark,4,4
9,dirlada,loopdilove,5,5
10,letitend,howdeepisyourlove,7,7
11,uncantoagalicia,bisschenfrieden,7,7
12,ithinkaboutyou,ithinkaboutyoutwo,5,5
13,greengrassgrows,superstring,2,2
14,heartbeat,getoveryou,1,1
15,blessees,janine,2,2
