N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,5
1,light_myLife,lady_divine_pt2,0
2,light_myLife,lady_divine_pt3,3
3,confessing,starlight,1
4,o_gladsome,o_light,1
5,lady_love,word_warning,5
6,whisper,wishing_song,0
7,does_anybody,bali,0
8,spider,desert_song,0
9,old_eli,someday_prince,0
10,alla_rancho,el_rancho_anonymous,0
11,chatterbox_carew,chatterbox_jerome,2
12,kansas,roses,6
13,whisper_to_me,itallcomes,2
14,kalamazoo_arnstein,kalamazoo_warren,0
15,prelude,dakota,17
16,vagyok,perhaps,0
17,messiah,fence,4
18,shepherd,beginthebeguine,1
19,amothersprayer,myownsweet,0
20,sadness,youdbesonice,3
21,twilightwaltz,calledlove,1
22,motheranddad,nearyou,24
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,0
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,7
28,rendezvous,idreamed,14
29,mizpahshalom,shalom,6
30,evangelimann,mitternachtstango,0
31,mojoworkout,gotmymojoworking,22
32,sognonostalgico,girlinthedark,6
33,hessofine,mysweetlord,0
34,jeanniemichele,themeatimetolove,3
35,daybyday,themetodayshow,41
36,keeponsinging,keeponsingingtwo,4
37,dirlada,loopdilove,5
38,letitend,howdeepisyourlove,0
39,pourtoi,feelings,1
40,uncantoagalicia,bisschenfrieden,6
41,lifeisarock,menusong,0
42,es,hey,1
43,tillyou,phantomoftheopera,0
44,ithinkaboutyou,ithinkaboutyoutwo,0
45,greengrassgrows,superstring,68
46,whereareyounow,whereareyou,6
47,gehtsparkasse,begood,38
48,heartbeat,getoveryou,68
49,gumtree,downunder,8
50,blessees,janine,68
51,reich,niveau,1
