N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,0
2,light_myLife,lady_divine_pt3,0
3,confessing,starlight,0
4,o_gladsome,o_light,12
5,lady_love,word_warning,0
6,whisper,wishing_song,0
7,does_anybody,bali,39
8,spider,desert_song,0
9,old_eli,someday_prince,1
10,alla_rancho,el_rancho_anonymous,16
11,chatterbox_carew,chatterbox_jerome,25
12,kansas,roses,20
13,whisper_to_me,itallcomes,10
14,kalamazoo_arnstein,kalamazoo_warren,1
15,prelude,dakota,19
16,vagyok,perhaps,1
17,messiah,fence,0
18,shepherd,beginthebeguine,1
19,amothersprayer,myownsweet,61
20,sadness,youdbesonice,0
21,twilightwaltz,calledlove,4
22,motheranddad,nearyou,50
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,1
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,57
28,rendezvous,idreamed,40
29,mizpahshalom,shalom,14
30,evangelimann,mitternachtstango,9
31,mojoworkout,gotmymojoworking,1
32,sognonostalgico,girlinthedark,2
33,hessofine,mysweetlord,11
34,jeanniemichele,themeatimetolove,2
35,daybyday,themetodayshow,3
36,keeponsinging,keeponsingingtwo,16
37,dirlada,loopdilove,56
38,letitend,howdeepisyourlove,0
39,pourtoi,feelings,17
40,uncantoagalicia,bisschenfrieden,1
41,lifeisarock,menusong,6
42,es,hey,0
43,tillyou,phantomoftheopera,6
44,ithinkaboutyou,ithinkaboutyoutwo,5
45,greengrassgrows,superstring,68
46,whereareyounow,whereareyou,4
47,gehtsparkasse,begood,25
48,heartbeat,getoveryou,68
49,gumtree,downunder,7
50,blessees,janine,68
51,reich,niveau,36
