N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,1,1
1,light_myLife,lady_divine_pt2,1,1
2,light_myLife,lady_divine_pt3,1,1
3,whisper,wishing_song,0,0
4,spider,desert_song,0,0
5,old_eli,someday_prince,0,0
6,alla_rancho,el_rancho_anonymous,0,0
7,chatterbox_carew,chatterbox_jerome,0,0
8,kansas,roses,0,0
9,whisper_to_me,itallcomes,0,0
10,prelude,dakota,0,0
11,vagyok,perhaps,0,0
12,messiah,fence,1,1
13,amothersprayer,myownsweet,0,0
14,thehappywhistler,sanfranciscobrewingad,0,0
15,goodnight,whilewedream,0,0
16,rendezvous,idreamed,0,0
17,sognonostalgico,girlinthedark,0,0
18,hessofine,mysweetlord,0,0
19,dirlada,loopdilove,1,1
20,lifeisarock,menusong,1,1
21,greengrassgrows,superstring,1,1
22,gehtsparkasse,begood,0,0
23,heartbeat,getoveryou,1,1
24,reich,niveau,0,0
