N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,2,2
1,light_myLife,lady_divine_pt3,2,2
2,spider,desert_song,3,3
3,chatterbox_carew,chatterbox_jerome,1,1
4,kalamazoo_arnstein,kalamazoo_warren,0,0
5,shepherd,beginthebeguine,1,1
6,hessofine,mysweetlord,3,3
7,keeponsinging,keeponsingingtwo,1,1
8,letitend,howdeepisyourlove,0,0
9,uncantoagalicia,bisschenfrieden,0,0
10,es,hey,2,2
11,tillyou,phantomoftheopera,2,2
12,greengrassgrows,superstring,3,3
13,heartbeat,getoveryou,0,0
