N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,13
1,light_myLife,lady_divine_pt2,7
2,light_myLife,lady_divine_pt3,1
3,confessing,starlight,0
4,o_gladsome,o_light,0
5,lady_love,word_warning,0
6,whisper,wishing_song,7
7,does_anybody,bali,1
8,spider,desert_song,33
9,old_eli,someday_prince,0
10,alla_rancho,el_rancho_anonymous,2
11,chatterbox_carew,chatterbox_jerome,4
12,kansas,roses,29
13,whisper_to_me,itallcomes,1
14,kalamazoo_arnstein,kalamazoo_warren,0
15,prelude,dakota,1
16,vagyok,perhaps,0
17,messiah,fence,0
18,shepherd,beginthebeguine,0
19,amothersprayer,myownsweet,2
20,sadness,youdbesonice,0
21,twilightwaltz,calledlove,0
22,motheranddad,nearyou,0
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,6
25,muehlebachbeersmith,timeformuehlebach,7
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,3
28,rendezvous,idreamed,47
29,mizpahshalom,shalom,0
30,evangelimann,mitternachtstango,1
31,mojoworkout,gotmymojoworking,0
32,sognonostalgico,girlinthedark,16
33,hessofine,mysweetlord,10
34,jeanniemichele,themeatimetolove,0
35,daybyday,themetodayshow,1
36,keeponsinging,keeponsingingtwo,1
37,dirlada,loopdilove,3
38,letitend,howdeepisyourlove,0
39,pourtoi,feelings,0
40,uncantoagalicia,bisschenfrieden,10
41,lifeisarock,menusong,12
42,es,hey,12
43,tillyou,phantomoftheopera,0
44,ithinkaboutyou,ithinkaboutyoutwo,0
45,greengrassgrows,superstring,1
46,whereareyounow,whereareyou,12
47,gehtsparkasse,begood,26
48,heartbeat,getoveryou,68
49,gumtree,downunder,0
50,blessees,janine,2
51,reich,niveau,2
