N,Song1,Song2,Cluster_1,Cluster_2
0,whisper,wishing_song,2,2
1,does_anybody,bali,0,0
2,spider,desert_song,3,3
3,chatterbox_carew,chatterbox_jerome,0,0
4,kansas,roses,0,0
5,messiah,fence,2,2
6,muehlebachbeersmith,timeformuehlebach,2,2
7,sognonostalgico,girlinthedark,2,2
8,daybyday,themetodayshow,0,0
9,dirlada,loopdilove,0,0
10,letitend,howdeepisyourlove,2,2
11,lifeisarock,menusong,2,2
12,es,hey,0,0
13,tillyou,phantomoftheopera,0,0
14,greengrassgrows,superstring,0,0
15,gehtsparkasse,begood,2,2
16,heartbeat,getoveryou,3,3
17,gumtree,downunder,3,3
18,blessees,janine,2,2
19,reich,niveau,0,0
