N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,7,7
1,light_myLife,lady_divine_pt3,7,7
2,whisper,wishing_song,7,7
3,old_eli,someday_prince,7,7
4,chatterbox_carew,chatterbox_jerome,7,7
5,kansas,roses,7,7
6,kalamazoo_arnstein,kalamazoo_warren,7,7
7,prelude,dakota,7,7
8,vagyok,perhaps,7,7
9,messiah,fence,7,7
10,shepherd,beginthebeguine,7,7
11,amothersprayer,myownsweet,7,7
12,sadness,youdbesonice,7,7
13,twilightwaltz,calledlove,7,7
14,thehappywhistler,sanfranciscobrewingad,7,7
15,mygodandi,mygodanditwo,7,7
16,goodnight,whilewedream,7,7
17,evangelimann,mitternachtstango,7,7
18,mojoworkout,gotmymojoworking,7,7
19,sognonostalgico,girlinthedark,7,7
20,hessofine,mysweetlord,7,7
21,keeponsinging,keeponsingingtwo,7,7
22,dirlada,loopdilove,7,7
23,letitend,howdeepisyourlove,7,7
24,pourtoi,feelings,7,7
25,uncantoagalicia,bisschenfrieden,7,7
26,tillyou,phantomoftheopera,7,7
27,greengrassgrows,superstring,2,2
28,gehtsparkasse,begood,6,6
29,heartbeat,getoveryou,6,6
30,blessees,janine,6,6
31,reich,niveau,7,7
