N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,1
2,light_myLife,lady_divine_pt3,1
3,confessing,starlight,1
4,o_gladsome,o_light,1
5,lady_love,word_warning,5
6,whisper,wishing_song,9
7,does_anybody,bali,11
8,spider,desert_song,19
9,old_eli,someday_prince,0
10,alla_rancho,el_rancho_anonymous,1
11,chatterbox_carew,chatterbox_jerome,7
12,kansas,roses,3
13,whisper_to_me,itallcomes,6
14,kalamazoo_arnstein,kalamazoo_warren,2
15,prelude,dakota,1
16,vagyok,perhaps,0
17,messiah,fence,3
18,shepherd,beginthebeguine,1
19,amothersprayer,myownsweet,0
20,sadness,youdbesonice,0
21,twilightwaltz,calledlove,0
22,motheranddad,nearyou,1
23,tonighthesailedagain,iloveyouyesido,1
24,thehappywhistler,sanfranciscobrewingad,1
25,muehlebachbeersmith,timeformuehlebach,3
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,0
28,rendezvous,idreamed,1
29,mizpahshalom,shalom,0
30,evangelimann,mitternachtstango,1
31,mojoworkout,gotmymojoworking,0
32,sognonostalgico,girlinthedark,5
33,hessofine,mysweetlord,5
34,jeanniemichele,themeatimetolove,0
35,daybyday,themetodayshow,1
36,keeponsinging,keeponsingingtwo,0
37,dirlada,loopdilove,4
38,letitend,howdeepisyourlove,5
39,pourtoi,feelings,1
40,uncantoagalicia,bisschenfrieden,0
41,lifeisarock,menusong,4
42,es,hey,12
43,tillyou,phantomoftheopera,4
44,ithinkaboutyou,ithinkaboutyoutwo,2
45,greengrassgrows,superstring,8
46,whereareyounow,whereareyou,0
47,gehtsparkasse,begood,11
48,heartbeat,getoveryou,24
49,gumtree,downunder,10
50,blessees,janine,24
51,reich,niveau,10
