N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,10
1,light_myLife,lady_divine_pt2,17
2,light_myLife,lady_divine_pt3,4
3,confessing,starlight,8
4,o_gladsome,o_light,6
5,lady_love,word_warning,10
6,whisper,wishing_song,6
7,does_anybody,bali,9
8,spider,desert_song,22
9,old_eli,someday_prince,18
10,alla_rancho,el_rancho_anonymous,0
11,chatterbox_carew,chatterbox_jerome,9
12,kansas,roses,12
13,whisper_to_me,itallcomes,18
14,kalamazoo_arnstein,kalamazoo_warren,0
15,prelude,dakota,0
16,vagyok,perhaps,0
17,messiah,fence,8
18,shepherd,beginthebeguine,0
19,amothersprayer,myownsweet,8
20,sadness,youdbesonice,7
21,twilightwaltz,calledlove,7
22,motheranddad,nearyou,6
23,tonighthesailedagain,iloveyouyesido,6
24,thehappywhistler,sanfranciscobrewingad,0
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,16
27,goodnight,whilewedream,0
28,rendezvous,idreamed,23
29,mizpahshalom,shalom,7
30,evangelimann,mitternachtstango,7
31,mojoworkout,gotmymojoworking,6
32,sognonostalgico,girlinthedark,5
33,hessofine,mysweetlord,6
34,jeanniemichele,themeatimetolove,0
35,daybyday,themetodayshow,0
36,keeponsinging,keeponsingingtwo,7
37,dirlada,loopdilove,0
38,letitend,howdeepisyourlove,12
39,pourtoi,feelings,9
40,uncantoagalicia,bisschenfrieden,6
41,lifeisarock,menusong,24
42,es,hey,7
43,tillyou,phantomoftheopera,7
44,ithinkaboutyou,ithinkaboutyoutwo,6
45,greengrassgrows,superstring,24
46,whereareyounow,whereareyou,23
47,gehtsparkasse,begood,3
48,heartbeat,getoveryou,24
49,gumtree,downunder,0
50,blessees,janine,24
51,reich,niveau,10
