N,Song,Cluster
0,timeformuehlebach,16
1,daybyday,21
2,begood,18
3,dirlada,13
4,kansas,20
5,confessing,24
6,tonighthesailedagain,21
7,menusong,22
8,ithinkaboutyou,21
9,phantomoftheopera,5
10,whereareyounow,21
11,themetodayshow,6
12,themeatimetolove,1
13,gehtsparkasse,4
14,whisper_to_me,0
15,goodnight,24
16,themetodayshow,6
17,chatterbox_carew,13
18,uncantoagalicia,23
19,word_warning,13
20,fence,8
21,bali,9
22,o_gladsome,15
23,does_anybody,15
24,shepherd,24
25,thehappywhistler,6
26,girlinthedark,0
27,spider,22
28,mysweetlord,24
29,timeformuehlebach,16
30,daybyday,20
31,roses,19
32,hessofine,21
33,letitend,2
34,light_myLife,10
35,niveau,8
36,wishing_song,14
37,old_eli,13
38,rendezvous,13
39,mojoworkout,4
40,gotmymojoworking,22
41,ithinkaboutyoutwo,10
42,muehlebachbeersmith,5
43,downunder,13
44,hey,21
45,muehlebachbeersmith,6
46,lady_divine_pt2,1
47,sognonostalgico,17
48,jeanniemichele,6
49,perhaps,20
50,lady_divine_pt3,11
51,mygodanditwo,7
52,lifeisarock,22
53,dakota,21
54,prelude,10
55,calledlove,20
56,myownsweet,12
57,lady_divine_pt1,4
58,o_light,19
59,light_myLife,13
60,tillyou,6
61,twilightwaltz,21
62,desert_song,14
63,littlespanishtown,10
64,whisper,0
65,youdbesonice,22
66,pourtoi,3
67,whilewedream,22
68,janine,8
69,vagyok,23
70,mizpahshalom,8
71,idreamed,9
72,messiah,5
73,itallcomes,14
74,getoveryou,18
75,es,3
76,iloveyouyesido,12
77,kalamazoo_warren,5
78,keeponsingingtwo,23
79,beginthebeguine,0
80,reich,15
81,kalamazoo_arnstein,1
82,pourtoi,14
83,whereareyou,14
84,sadness,19
85,littlespanishtown,0
86,someday_prince,4
87,loopdilove,6
88,heartbeat,18
89,keeponsinging,24
90,motheranddad,10
91,bisschenfrieden,9
92,el_rancho_anonymous,6
93,blessees,8
94,shalom,15
95,ilpostino,18
96,superstring,16
97,greengrassgrows,16
98,starlight,21
99,chatterbox_jerome,0
100,amothersprayer,7
101,lady_love,10
102,feelings,20
103,evangelimann,14
104,nearyou,24
105,howdeepisyourlove,9
106,sanfranciscobrewingad,4
107,alla_rancho,16
108,gumtree,6
109,diesererde,21
110,mitternachtstango,13
111,mygodandi,17
