N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,9,9
1,chatterbox_carew,chatterbox_jerome,9,9
2,whisper_to_me,itallcomes,2,2
3,amothersprayer,myownsweet,4,4
4,motheranddad,nearyou,4,4
5,rendezvous,idreamed,4,4
6,evangelimann,mitternachtstango,2,2
7,dirlada,loopdilove,5,5
8,pourtoi,feelings,7,7
9,tillyou,phantomoftheopera,2,2
10,greengrassgrows,superstring,1,1
11,whereareyounow,whereareyou,5,5
12,gehtsparkasse,begood,12,12
13,heartbeat,getoveryou,1,1
14,blessees,janine,12,12
15,reich,niveau,2,2
