N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,1
2,light_myLife,lady_divine_pt3,0
3,confessing,starlight,2
4,o_gladsome,o_light,0
5,lady_love,word_warning,3
6,whisper,wishing_song,0
7,does_anybody,bali,1
8,spider,desert_song,2
9,old_eli,someday_prince,1
10,alla_rancho,el_rancho_anonymous,2
11,chatterbox_carew,chatterbox_jerome,2
12,kansas,roses,9
13,whisper_to_me,itallcomes,0
14,kalamazoo_arnstein,kalamazoo_warren,2
15,prelude,dakota,10
16,vagyok,perhaps,1
17,messiah,fence,1
18,shepherd,beginthebeguine,10
19,amothersprayer,myownsweet,0
20,sadness,youdbesonice,1
21,twilightwaltz,calledlove,1
22,motheranddad,nearyou,2
23,tonighthesailedagain,iloveyouyesido,5
24,thehappywhistler,sanfranciscobrewingad,1
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,1
27,goodnight,whilewedream,1
28,rendezvous,idreamed,1
29,mizpahshalom,shalom,1
30,evangelimann,mitternachtstango,1
31,mojoworkout,gotmymojoworking,9
32,sognonostalgico,girlinthedark,2
33,hessofine,mysweetlord,68
34,jeanniemichele,themeatimetolove,1
35,daybyday,themetodayshow,0
36,keeponsinging,keeponsingingtwo,68
37,dirlada,loopdilove,68
38,letitend,howdeepisyourlove,10
39,pourtoi,feelings,3
40,uncantoagalicia,bisschenfrieden,68
41,lifeisarock,menusong,8
42,es,hey,3
43,tillyou,phantomoftheopera,2
44,ithinkaboutyou,ithinkaboutyoutwo,68
45,greengrassgrows,superstring,27
46,whereareyounow,whereareyou,3
47,gehtsparkasse,begood,2
48,heartbeat,getoveryou,68
49,gumtree,downunder,1
50,blessees,janine,68
51,reich,niveau,3
