N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,3
1,light_myLife,lady_divine_pt2,0
2,light_myLife,lady_divine_pt3,8
3,confessing,starlight,2
4,o_gladsome,o_light,1
5,lady_love,word_warning,3
6,whisper,wishing_song,1
7,does_anybody,bali,7
8,spider,desert_song,1
9,old_eli,someday_prince,1
10,alla_rancho,el_rancho_anonymous,1
11,chatterbox_carew,chatterbox_jerome,6
12,kansas,roses,1
13,whisper_to_me,itallcomes,3
14,kalamazoo_arnstein,kalamazoo_warren,2
15,prelude,dakota,4
16,vagyok,perhaps,0
17,messiah,fence,6
18,shepherd,beginthebeguine,10
19,amothersprayer,myownsweet,1
20,sadness,youdbesonice,3
21,twilightwaltz,calledlove,6
22,motheranddad,nearyou,6
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,0
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,1
27,goodnight,whilewedream,1
28,rendezvous,idreamed,0
29,mizpahshalom,shalom,8
30,evangelimann,mitternachtstango,1
31,mojoworkout,gotmymojoworking,2
32,sognonostalgico,girlinthedark,7
33,hessofine,mysweetlord,0
34,jeanniemichele,themeatimetolove,9
35,daybyday,themetodayshow,68
36,keeponsinging,keeponsingingtwo,2
37,dirlada,loopdilove,4
38,letitend,howdeepisyourlove,0
39,pourtoi,feelings,0
40,uncantoagalicia,bisschenfrieden,3
41,lifeisarock,menusong,0
42,es,hey,1
43,tillyou,phantomoftheopera,0
44,ithinkaboutyou,ithinkaboutyoutwo,0
45,greengrassgrows,superstring,68
46,whereareyounow,whereareyou,45
47,gehtsparkasse,begood,2
48,heartbeat,getoveryou,68
49,gumtree,downunder,3
50,blessees,janine,68
51,reich,niveau,1
