N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,5
1,light_myLife,lady_divine_pt2,0
2,light_myLife,lady_divine_pt3,2
3,confessing,starlight,0
4,o_gladsome,o_light,0
5,lady_love,word_warning,1
6,whisper,wishing_song,0
7,does_anybody,bali,2
8,spider,desert_song,1
9,old_eli,someday_prince,0
10,alla_rancho,el_rancho_anonymous,0
11,chatterbox_carew,chatterbox_jerome,2
12,kansas,roses,10
13,whisper_to_me,itallcomes,1
14,kalamazoo_arnstein,kalamazoo_warren,0
15,prelude,dakota,27
16,vagyok,perhaps,1
17,messiah,fence,6
18,shepherd,beginthebeguine,3
19,amothersprayer,myownsweet,3
20,sadness,youdbesonice,3
21,twilightwaltz,calledlove,1
22,motheranddad,nearyou,17
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,2
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,6
28,rendezvous,idreamed,18
29,mizpahshalom,shalom,8
30,evangelimann,mitternachtstango,1
31,mojoworkout,gotmymojoworking,16
32,sognonostalgico,girlinthedark,15
33,hessofine,mysweetlord,0
34,jeanniemichele,themeatimetolove,6
35,daybyday,themetodayshow,55
36,keeponsinging,keeponsingingtwo,3
37,dirlada,loopdilove,3
38,letitend,howdeepisyourlove,1
39,pourtoi,feelings,3
40,uncantoagalicia,bisschenfrieden,2
41,lifeisarock,menusong,0
42,es,hey,2
43,tillyou,phantomoftheopera,0
44,ithinkaboutyou,ithinkaboutyoutwo,0
45,greengrassgrows,superstring,68
46,whereareyounow,whereareyou,10
47,gehtsparkasse,begood,22
48,heartbeat,getoveryou,68
49,gumtree,downunder,7
50,blessees,janine,68
51,reich,niveau,0
