N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,4
2,light_myLife,lady_divine_pt3,5
3,confessing,starlight,0
4,o_gladsome,o_light,1
5,lady_love,word_warning,18
6,whisper,wishing_song,0
7,does_anybody,bali,18
8,spider,desert_song,0
9,old_eli,someday_prince,5
10,alla_rancho,el_rancho_anonymous,0
11,chatterbox_carew,chatterbox_jerome,4
12,kansas,roses,1
13,whisper_to_me,itallcomes,45
14,kalamazoo_arnstein,kalamazoo_warren,1
15,prelude,dakota,48
16,vagyok,perhaps,1
17,messiah,fence,1
18,shepherd,beginthebeguine,0
19,amothersprayer,myownsweet,34
20,sadness,youdbesonice,0
21,twilightwaltz,calledlove,2
22,motheranddad,nearyou,20
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,4
25,muehlebachbeersmith,timeformuehlebach,1
26,mygodandi,mygodanditwo,5
27,goodnight,whilewedream,4
28,rendezvous,idreamed,29
29,mizpahshalom,shalom,1
30,evangelimann,mitternachtstango,29
31,mojoworkout,gotmymojoworking,7
32,sognonostalgico,girlinthedark,4
33,hessofine,mysweetlord,11
34,jeanniemichele,themeatimetolove,7
35,daybyday,themetodayshow,36
36,keeponsinging,keeponsingingtwo,0
37,dirlada,loopdilove,7
38,letitend,howdeepisyourlove,9
39,pourtoi,feelings,7
40,uncantoagalicia,bisschenfrieden,0
41,lifeisarock,menusong,1
42,es,hey,1
43,tillyou,phantomoftheopera,1
44,ithinkaboutyou,ithinkaboutyoutwo,38
45,greengrassgrows,superstring,24
46,whereareyounow,whereareyou,0
47,gehtsparkasse,begood,68
48,heartbeat,getoveryou,68
49,gumtree,downunder,2
50,blessees,janine,68
51,reich,niveau,25
