N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,light_myLife,lady_divine_pt3,0,0
3,confessing,starlight,0,0
4,chatterbox_carew,chatterbox_jerome,1,1
5,kalamazoo_arnstein,kalamazoo_warren,3,3
6,prelude,dakota,1,1
7,vagyok,perhaps,1,1
8,shepherd,beginthebeguine,1,1
9,goodnight,whilewedream,1,1
10,hessofine,mysweetlord,0,0
11,letitend,howdeepisyourlove,3,3
12,es,hey,0,0
13,ithinkaboutyou,ithinkaboutyoutwo,0,0
14,greengrassgrows,superstring,0,0
15,whereareyounow,whereareyou,0,0
16,heartbeat,getoveryou,3,3
