N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,1,1
1,light_myLife,lady_divine_pt2,1,1
2,light_myLife,lady_divine_pt3,1,1
3,confessing,starlight,1,1
4,lady_love,word_warning,0,0
5,spider,desert_song,1,1
6,chatterbox_carew,chatterbox_jerome,0,0
7,kalamazoo_arnstein,kalamazoo_warren,0,0
8,prelude,dakota,1,1
9,shepherd,beginthebeguine,0,0
10,thehappywhistler,sanfranciscobrewingad,0,0
11,goodnight,whilewedream,0,0
12,rendezvous,idreamed,0,0
13,hessofine,mysweetlord,1,1
14,keeponsinging,keeponsingingtwo,0,0
15,letitend,howdeepisyourlove,0,0
16,uncantoagalicia,bisschenfrieden,0,0
17,es,hey,1,1
18,tillyou,phantomoftheopera,1,1
19,ithinkaboutyou,ithinkaboutyoutwo,1,1
20,greengrassgrows,superstring,1,1
21,whereareyounow,whereareyou,1,1
22,heartbeat,getoveryou,0,0
23,blessees,janine,0,0
