N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt3,2,2
1,confessing,starlight,2,2
2,o_gladsome,o_light,1,1
3,lady_love,word_warning,1,1
4,does_anybody,bali,2,2
5,kalamazoo_arnstein,kalamazoo_warren,3,3
6,prelude,dakota,0,0
7,goodnight,whilewedream,1,1
8,sognonostalgico,girlinthedark,2,2
9,hessofine,mysweetlord,0,0
10,jeanniemichele,themeatimetolove,2,2
11,greengrassgrows,superstring,3,3
12,whereareyounow,whereareyou,0,0
13,gehtsparkasse,begood,0,0
14,heartbeat,getoveryou,0,0
15,gumtree,downunder,3,3
