N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,2,2
1,light_myLife,lady_divine_pt2,2,2
2,light_myLife,lady_divine_pt3,2,2
3,o_gladsome,o_light,2,2
4,lady_love,word_warning,2,2
5,does_anybody,bali,2,2
6,spider,desert_song,2,2
7,old_eli,someday_prince,2,2
8,chatterbox_carew,chatterbox_jerome,0,0
9,kansas,roses,0,0
10,kalamazoo_arnstein,kalamazoo_warren,0,0
11,vagyok,perhaps,0,0
12,sadness,youdbesonice,2,2
13,sognonostalgico,girlinthedark,2,2
14,jeanniemichele,themeatimetolove,2,2
15,daybyday,themetodayshow,2,2
16,dirlada,loopdilove,2,2
17,uncantoagalicia,bisschenfrieden,2,2
18,es,hey,0,0
19,tillyou,phantomoftheopera,2,2
20,whereareyounow,whereareyou,2,2
21,gehtsparkasse,begood,1,1
22,heartbeat,getoveryou,1,1
23,gumtree,downunder,0,0
24,reich,niveau,0,0
