N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,2
1,light_myLife,lady_divine_pt2,7
2,light_myLife,lady_divine_pt3,1
3,confessing,starlight,2
4,o_gladsome,o_light,0
5,lady_love,word_warning,1
6,whisper,wishing_song,0
7,does_anybody,bali,0
8,spider,desert_song,0
9,old_eli,someday_prince,0
10,alla_rancho,el_rancho_anonymous,11
11,chatterbox_carew,chatterbox_jerome,3
12,kansas,roses,0
13,whisper_to_me,itallcomes,2
14,kalamazoo_arnstein,kalamazoo_warren,0
15,prelude,dakota,0
16,vagyok,perhaps,1
17,messiah,fence,0
18,shepherd,beginthebeguine,2
19,amothersprayer,myownsweet,0
20,sadness,youdbesonice,10
21,twilightwaltz,calledlove,2
22,motheranddad,nearyou,3
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,1
25,muehlebachbeersmith,timeformuehlebach,5
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,1
28,rendezvous,idreamed,0
29,mizpahshalom,shalom,1
30,evangelimann,mitternachtstango,0
31,mojoworkout,gotmymojoworking,3
32,sognonostalgico,girlinthedark,0
33,hessofine,mysweetlord,5
34,jeanniemichele,themeatimetolove,2
35,daybyday,themetodayshow,0
36,keeponsinging,keeponsingingtwo,4
37,dirlada,loopdilove,3
38,letitend,howdeepisyourlove,4
39,pourtoi,feelings,5
40,uncantoagalicia,bisschenfrieden,6
41,lifeisarock,menusong,2
42,es,hey,3
43,tillyou,phantomoftheopera,9
44,ithinkaboutyou,ithinkaboutyoutwo,0
45,greengrassgrows,superstring,0
46,whereareyounow,whereareyou,6
47,gehtsparkasse,begood,58
48,heartbeat,getoveryou,68
49,gumtree,downunder,0
50,blessees,janine,0
51,reich,niveau,21
