N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,1
1,light_myLife,lady_divine_pt2,16
2,light_myLife,lady_divine_pt3,33
3,confessing,starlight,1
4,o_gladsome,o_light,0
5,lady_love,word_warning,7
6,whisper,wishing_song,0
7,does_anybody,bali,1
8,spider,desert_song,2
9,old_eli,someday_prince,0
10,alla_rancho,el_rancho_anonymous,2
11,chatterbox_carew,chatterbox_jerome,3
12,kansas,roses,13
13,whisper_to_me,itallcomes,0
14,kalamazoo_arnstein,kalamazoo_warren,5
15,prelude,dakota,1
16,vagyok,perhaps,10
17,messiah,fence,0
18,shepherd,beginthebeguine,11
19,amothersprayer,myownsweet,2
20,sadness,youdbesonice,0
21,twilightwaltz,calledlove,0
22,motheranddad,nearyou,3
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,2
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,48
28,rendezvous,idreamed,7
29,mizpahshalom,shalom,2
30,evangelimann,mitternachtstango,0
31,mojoworkout,gotmymojoworking,7
32,sognonostalgico,girlinthedark,0
33,hessofine,mysweetlord,13
34,jeanniemichele,themeatimetolove,1
35,daybyday,themetodayshow,1
36,keeponsinging,keeponsingingtwo,13
37,dirlada,loopdilove,0
38,letitend,howdeepisyourlove,2
39,pourtoi,feelings,0
40,uncantoagalicia,bisschenfrieden,8
41,lifeisarock,menusong,2
42,es,hey,23
43,tillyou,phantomoftheopera,1
44,ithinkaboutyou,ithinkaboutyoutwo,1
45,greengrassgrows,superstring,17
46,whereareyounow,whereareyou,1
47,gehtsparkasse,begood,0
48,heartbeat,getoveryou,68
49,gumtree,downunder,2
50,blessees,janine,7
51,reich,niveau,0
