N,SongName,SongString
1,timeformuehlebach.mid,-44-44-44-44-44-44-44-44-44-44-44-4p1-56.5p0.250.7548.75-33.5228.5-197-47.5p0.250.25p0.2549.25-3190-189
2,daybyday.mid,p20-2187p3p2-153-341p0.5155p1p1-155p1/631-3136p2/361p1/3-68p2/32-220p1/3124p6p1-155p1/6360-32.5p0.531.5-3496p1-61-33.5p1/633.5p12p1/3-3-34p1/696p1-95.5-0.5p1/665.5p2-64p1/633.5p2-35-1p1/6593p0.5-61p1/6-197p164p2p2-128-341p1/6155
3,begood.mid,0.5-0.5-239-3937-3032.5
4,dirlada.mid,p8-3010128p40-3010128p42-31-15-0.514.5-0.532.5p4-2-3010128p4-3-28.510.5-0.527.5p40-28.510.5-0.527.5p43-3001128p40-3001128
5,kansas.mxl,p2p0.5-1-1-0.50.522.583-85-220.250.25p0.250.75-0.5-0.75-1.75110.75p0.5-87-0.5-1-0.50.51.53.587.5-89p0.25-22.750.250.250.75-0.5-0.75-1118.75p0.5-97.5-1-1-0.50.522.583-85107p0.5-114.51.512-1-2-1.5-1-0.519.75-3580.75p0.5
6,confessing.mxl,10-2-12-212-2-1076-142133-135202-67p1-6110-2-12-212-2-1076-142666160-225-8117114-4-101444-1446-20140-72p1-7610-2-12-212-2-1076-142666160-75p1
7,tonighthesailedagain.mxl,p1-8146.5-72103.5p1-73-4141.5-70100.5p1-705-233.5-6731.54-5-2-22194p1-189-8146.5-7295.5
8,menusong.mxl,p4-16.75000000000000000000000000000000.50000000000000000000000000000000-0.500000000000000000000000000000000000000000000000
9,ithinkaboutyou.mxl,00000-0.5-0.517.75-133.5-49.250000-0.516.251-1-16.751-0.5-0.516.750p1p0.50-16.750.518.2535.5p1p0.25p0.25p0.25p0.25-54.25018.7500-18.25-0.517.75-17.750p118.75-17.75053.25-53.75-0.516.75-16.751-0.5-0.516.750p1p0.50-16.750.518.2535.5p1p2
10,phantomoftheopera.mxl,p15-533-6187-58-338-65.5200.5p1-1715-536-6487-58-335-62.5200.5p1-1715338.5-70100.5-67041-74.5242.5-216-229-58.5267.5-259-1-1-0.5-1-1-0.5-1213-184-229-58.5199.5-114p2p4p4p4p1-525-535.5-6694.5-63-337.5-67.5218-18605-535.5-6694.5-63-337.5-67.5218p1-1865-549-75108-72043.5-79.5260-148p1-74242-276.5-1-1-0.5-1-1-0.50229.5-199-231.5-63.5217-124p2p4p4p4p1
11,whereareyounow.mxl,p0.5p0.5p0.5-1838.7521.25-40.537.5-2-3841-393634p0.5p0.5-7077.5-77.5038p1p2p0.5p0.5-39p0.5-1840.2519.75-40.537.5-2-3841-393634p0.5p0.5-7077.5-77.5038p1p2p0.5p0.5-4035-2-34.5103.5p2
