N,SongName,SongString
1,timeformuehlebach.mid,-44-44-44-44-44-44-44-44-44-44-44-4p-10p30-22-2-1p1p2-310
2,daybyday.mid,p0-42p2-42p0p0p005p-3p-4p2-220p0p0p502p-3-20p30p0p2p-3-2p0p1-1p1p2p0p-3-2p-22p2p-22p0p0-42p0
3,begood.mid,1-1-42-20-30-2
4,dirlada.mid,p0202-4p00202-4p202-2-2-13p-20202-4p-3021-1-2p0021-1-2p30022-4p00022-4
5,kansas.mxl,p-2-2-1145-2-2-611p3-2-3-7-5p18-1-2-1137-1-2p-5113-2-3-4-8p12-2-2-1145-2-2-8p-7324-2-4-3-2-15-2-2p
6,confessing.mxl,5-1-6-16-1-53-2-1-110p35-1-6-16-1-53-2-1350-81117-2-51103-10-20p-25-1-6-16-1-53-2-1350p
7,tonighthesailedagain.mxl,p-8111-20p-4-417-20p-35-200-24-5-2-222p3-8111-2-4
8,menusong.mxl,p00000000000000000000000000000020000000000000000000000000000000-200000000000000000000000000000000000000000000000
9,ithinkaboutyou.mxl,00000-2-22-2040000-2-22-204-2-200p00220p-40400-2-22-20p4000-2-2004-2-200p00220p
10,phantomoftheopera.mxl,p5-53-200-37-72p05-55-400-35-52p0534-20005-52-9-20-1170-2-2-1-2-2-1-2-1-1-20-100p55-53-200-35-52005-53-200-35-52p05-512-20005-520p050-2-2-1-2-2-10-3-1-20-100p
11,whereareyounow.mxl,pp212-2-1-2-25-1-2-2p41-100p-2p230-2-1-2-25-1-2-2p41-100p-4-1-200p
12,themetodayshow.mxl,p320p2-420p302-3-420002302-420p-202-30-4220
13,themeatimetolove.mxl,p341-5p-30p26p-120p11-5p-60p40214-16p14-5p00p-10123p-100p9p-50p4-343p-11p12-5p-30p26p-120p11-5p-20p00214-16p14-5p00p-10123p-100p8
14,gehtsparkasse.mid,p1-1-42-20
15,whisper_to_me.mxl,-1-7700-22-2-53000-2-110p007-3-470-1-4-37-750021
16,goodnight.mxl,p2-2-5-35-11-5352-2-5220p-4p0p5-834-2-50p035-834-2-40p0-1-2-1-11-3220300-3-115-3-2-1-1
17,themetodayshow.mid,p32p2-42p302-3-420002302-420p-202-30-4220
18,chatterbox_carew.mxl,5-523400-2-723-523400-2525-3-2-2-30-2-24-2-2-112-723-523400-2-723-523p400-2525-3-2-2-30-2-24-2-2-1128220-422-2-2-3
19,uncantoagalicia.mid,p012002-24-9021002-2-1p0012002-24-9021002-2-1p0012-332-24-9021002-24p-5012-3032-24-902102-2-1
20,word_warning.mxl,p00p-1-3134030-33-10p-700p-2-314340-44-2p03-3-50-250000p02-50052100p-100p-600p-1-313430-33-10p-700p0-5143p30-66-1
21,fence.mxl,p5220-110-11-2-22201-1-20-3120-110-11-2-11250-2-1-4220-110-110-2-25-1104-5122-11-2-2-1-1112-1121-1-2-2-10-2-200000-321-1-221-1-2212-2-3-2
22,bali.mxl,p30-112-2-11p-312-40p-50-112-2-11p40-950-112-2-11p10-30-72-112-11p1p4p-4p-812-222-2-22p-312-40p-50-112-2-1140-950-222-2-22p019-30p-5-113-1-115p-400211-2-2-1
23,o_gladsome.mxl,000-22-2-2-130-222000-22-2-2000221-1-2212-3-2-2-10-220100500-1p
24,does_anybody.mxl,p-31112-2-11p9-40-5112-2-1150p2-42-31-32-42-4p-111113-2-22p-503-31112-2p-11p9-40-511p2-2-115p-610p32-31-32-42p-46001-32-42-42p-350-2-31112-2-11p9-4-114-23-1-40-550p
25,shepherd.mxl,p521312-2-1-3-10-2-1-33-41-1-22p602202-2202-2-100-5-35p2-3-2-35-20p
26,thehappywhistler.mxl,050p0432-2-7p4-2-2-3-290-42p-7050432-2-2-1-2-2-3-290-2-2p72030-3-22-2-30-2-20430-33p020300-3-22-2-30-2-2-3-290-2-2
27,girlinthedark.mxl,8-1-22-22-78-1-22-22-28-1-22-221-9p-48-1-22-22-78-1-22-22-28-1-22-221-9p-48-43-207-2-22-53-3-5142-27-45-11-3253-1-56-1
28,spider.mxl,p-3-117-2-2-2-43-23-4110-1-700435-20-1-1-10435-2-1011120-53-2-8034-20-4060-113p-52-2-29-7-1143-3-47-2-521-32p-45-11-1-33-2-99-20300-1-530-2-11-10-111-112-13-2-1012-3-490-2-2p
29,mysweetlord.mxl,p0-300p30-3-22-2p50-300-2p2323-330p-523-3300p-523-33000-81203-1-20-3-200p5-3000
30,timeformuehlebach.mxl,-44-44-44-44-44-44-44-44-44-44-44-4p-1030-22-2-11p2-310p
31,daybyday.mxl,p0-42p0p20-42p0p0005p-3p-4p2-2020p0p05002p-3-20p300p2p-3-20p1-110p20p-3-2-2020p2-22p0p00-420p
32,roses.mxl,-2-2-114311-4-1-2-1134113-2-1012-20-41-10010-500-2-2-114311-4-1-2-1134113-2-1012-20-63-10010-2000p
33,hessofine.mxl,p-3-200p50-3-22-2p50-3-22-4200p500-30-44-2p5023-55-3p300p-525-20-33p-523-332-503p-5230-3300p-5-3300-3-20p5-3-22-420p0p5-3-22-4200p0-27-3-22-420
34,letitend.mxl,0-222-2-222-72321-1-221-60512-2-112-5-22201220-2-222-70-222-2-222-72321-1-221-60512-2-112-5-202212200-22200-22100-1-2300-1-2-2000220-1-1-2-200021-11-20-200p521
35,light_myLife.mxl,pp3-35-53-35-53221-7p00p4-4p6-64-46-6p421-10p-7p00p3-35-53-35-5321-15002-2-2-13-2-3-4-1-26-6p5-334-2-5300p-334-2-510p-337-1-936-20-2-55-4130p-334-2-5300p-333-10-2-20p-32111-2-2-830p4-208p02p-30-40p
36,niveau.mid,p21-1-2p021-1-2p021-1-2-27-2-1-2p021-1-2p021-1-2p021-1-2-272-4-1p-221-1-2p021-1-2p021-1-2-27-2-1-2p021-1-2p021-1-2p1000000000-7-3
37,wishing_song.mxl,p5-11-1-734-22-2-613000-2-110-119-22-2-817-11-1-10170-760-6
38,old_eli.mxl,50-5110080-87-20-7120-3-4-100-113-85-2-20050-5110080-87-20-7120-3-4-41032200-2-20p
39,rendezvous.mxl,p-110-1-2-22-220-2-2-11-110-1-2-277000-1-2-22-220-2-2-22-220-2-1-27p3-110-1-2-22-220-2-2-11-110-1-2-29
40,mojoworkout.mxl,0000-532p0-330-532p-532p00-55000000-532p-20-330-33-300p0000-2-2-30p-1100-220000040-510000000000-1
41,gotmymojoworking.mxl,04-6-11-1-40700-3-4000p700-2-11-1-4012-5-2-1-400041-110-1-47-770-2-1-400012000-11000000-11000000-1100p
42,ithinkaboutyoutwo.mxl,p0-1-20-22-2002-20p02-20-7p120-1-20-2p02-202p3-3-20-7p
43,muehlebachbeersmith.mxl,-55-55-55-5-7120-5212-30-5122-40-112-310-50120-5212-30-5122-40-112-31
44,downunder.mxl,p-2-2-1-1-1-1-143p2-2-2-1-1-1-1-1p9000100-1-44-4p4-2-2-1-1-1-1-1p12000200-2-33-30-2-2-1-1-1-1-1p9000100-1-44-4p-3110p13-10p-1400034-2-2-1-2p12-2-2-1-2-22232-2-26-20p-1200034-2-2-1-2p12-2-2-1p-2-222p32-2-26-20p-1200034-2-2-1-27-2-30-1-1-10p8-2-2-1-1-1-1-1p9000100-1-44-4p711p111-10p-42p-22p-22p-22p-22-22-22-22p-22-22-22-22
45,hey.mxl,p-1212-20-1-200-27p-129-20-20-10-22p-422141p4p-122p-422122
46,muehlebachbeersmith.mid,-55-55-55-55-55-55-55-5-712-5212-30-5122-4-112-31-50120-5212-30-5122-4-112-31
47,lady_divine_pt2.mxl,-75000-1-95-20p2p-1p1-2p027-2-1-1p-1-61p5-400-1p1-4p137-1-2-2p4-22p-4
48,sognonostalgico.mxl,8-1-22-22-78-1-22-22-28-1-22-2201-9p-37-54p3-22-53-30-442-2701-11-32-73-1-2-112
49,jeanniemichele.mxl,p1200-660-200-660-1000-2-220p21200-660-200-651-1000-4430p
50,perhaps.mxl,p2-25-3-2-3-2p02-25-3-7p-2223-2-117p-525-5-11p32-25-3-2-3-2p02-25-3-4p022-2-2227-2p-92270-4p
51,lady_divine_pt3.mxl,03-1p1-2p027-202-24-2-500-117-2-31-87-2-512225-4p-550
52,mygodanditwo.mxl,30p0-3300-30-2p002p1040-2-2-1p0122030-1-20-2p-335-1-2-20-2-32p
53,lifeisarock.mxl,0-21-1-3-2-21-40-20-3p-21105000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007-3-2-20p002-2250p-702-222-4p002-24
54,dakota.mxl,507-135000-55-2503-2p-9333-76-25-35-25-144234p5-22-4p-1-1p7p-7222-6p922-2-53-15-42-7p8-1-20-42-2-3p-250p149-22-3p-21-1-2-55
55,prelude.mxl,0p522-2-2-8152-44-97-2-3-3p-25-72-27-72-275p2-55-51-1-27-55-51-1-2700000-2-22p-5700000-2-22p-57p-5-95-52-2-27-55-52-2-2740-400-1-22p-6700000-1-221p4-55-51-1-27-56-61-1-2700000-2-22p-5700000-2-22p-57p3-55-52-2-27-55-52-2-27000020-2000020-2p412-72212p2-112-722312-722-142-2p-2-1-2-2-17-9p
56,calledlove.mxl,p-6-3003-2p00-1000-41p60-30030-1-1p00-1000-400-3p150-300302-3p0-2-40130-2-3p3000-300302-2-2p00-1008
57,myownsweet.mxl,22p1225-2-3-2-5p05-2-1127-2-511p-9221225-2-3-2-5p122-2-2-1-1-3-5210p-11221-1-2-2-13-2p-1111-58-1-2-2-1p-4221225-2-3-2-5p122-2-2-1-1-3-5210p
58,lady_divine_pt1.mxl,-522-2-819-422-4-31p7-522-2
59,o_light.mxl,000-22-2-2-130-22200-22-2-2-110221-1-2212-30-2-2-10-22010500-1p0p00000-101-5122p300-2p
60,light_myLife.mid,pp3-35-53-35-53221-7p0p4-4p6-64-46-6p421-10p-7p0p3-35-53-35-5321-1502-2-2-13-2-3-4-1-26-6p5-334-2-530p-334-2-51p-337-1-936-20-2-55-413p-334-2-530p-333-10-2-2p-32111-2-2-830p4-28p02-3-40
61,tillyou.mxl,p8-83-20p-39-93-10p05341-1-20p0-3p-78-83-20p-39-93-100p0532-20-1
62,twilightwaltz.mxl,p0-1224p-24-22p100-12p120-12p120-1224p-24-33p1112-2424-120-12p1012-2424p-24-2-3p2012-3030p-30-2-2p10120p223-12-12p213-1212p-12-33704p0-12-622201-1-7p173-1517-2-3-12p100-1212p-12-2-3p143-1517p-17-2-2p1112-2424p-24p13215-202014-20-13-20-11-101114-20-13-20-11
63,desert_song.mxl,16-20-812107-10-81011118-22-40-917-207-5-2-22-2-316-20-812107-10-81p
64,littlespanishtown.mid,p433-2-10-2-2-1-27-954p-2-22-743p-2-11-59-49-25p-1723-1122-2-2-8122-50122-4p423-1121-1-2-521-35-521-3511-954p-2-24-954p-2-22p0-743p-2-13-743p-2-11p-523-1-2-210-1-232-3p0-954p-2-24-954p-2-22p3-936p-1-23-936p-1-22p-7433-2-10-2-2-1-2p7-954p-2-22-743p-2-11p4-954p-2-24-954p-2-22p0-743p-2-13-743p-2-11p-523-1-2-210-1-232-3p0-954p-2-24-954p-2-22p3-936p-1-23-936p-1-22p-7433-2-10-2-2-1-2p7-954p-2-22-743p-2-11
65,whisper.mxl,-1-7340-22-2-53000-2-11p0p007-3-470-1-4-37-750021
66,youdbesonice.mxl,5p-20-1-2-11-50-115-20-3-2-202210-10433-310211-43-3-100-221-10-2-11-500143-3
67,pourtoi.mxl,0-70p02p10-1-27-70p0210-1-27500-2002-2-2-10p
68,whilewedream.mxl,-1-2-22-2-7220032-442-47-2p-808-834-2-50035-834-2-40-11p9000-2-1037-10342
69,janine.mid,p122-51-321-321
70,vagyok.mxl,p2-25-3-2-3-2p02-25-3-2-3-2p-202030-3300-33-3200-44-42p102-25-3-2-3-2p02-22-22-2-2p0020-2211p05-53-3-923
71,mizpahshalom.mxl,p143522-5-221-3-11133612-52-2-5014-2-33-2004212-3-2-2p8-4-2-20-8143522-5-22-20
72,idreamed.mxl,p5-11-11-110-1-2-22-22-220-2-2-11-101-1-2-270p25-22-22-220-2-1-22-22-220-2-222-2-220-42p05-11-11-110-1-2-22-22-220-20-2-11-11-1-2-270
73,messiah.mxl,p-1-2-22212-3300-2-1-203-1-20p3-1-22122-44021-5-303-2-10p0-2-22212-330210-1-2-2-150p
74,itallcomes.mxl,pp000-4-10-2203-2-30203-2-3-5309000-4-3p
75,getoveryou.mid,-2-3-2-2-3-223-3
76,es.mxl,p30-20-10-221-63p30-10-20-222-53p30-10-2021-33-10p500080-10-20-20-1-730090-20-20-1-2-2-332050-20-10-2-2-24-20p2p08-10-20-20-1-73p09-20-20-1-2-2-31p-321-3-20p
77,iloveyouyesido.mxl,p000-3002000-400-35-20-20p-52
78,kalamazoo_warren.mxl,00000000000043500-3-2-70000p70-2-350-2-350-2-350-2-1-400000000000043500-3-2-70000p70-2-350-2-350-2-350-2-1-4000000000p
